Phase,State,Time Period,Time Period Label,Value
1,New Mexico,12,July 16 - July 21,37.6
1,New York,12,July 16 - July 21,29.3
1,North Carolina,12,July 16 - July 21,30.5
1,North Dakota,12,July 16 - July 21,26.8
1,Ohio,12,July 16 - July 21,24.9
1,Oklahoma,12,July 16 - July 21,33.5
1,Oregon,12,July 16 - July 21,36.4
1,Pennsylvania,12,July 16 - July 21,20.5
1,Rhode Island,12,July 16 - July 21,25.9
1,South Carolina,12,July 16 - July 21,32.3
1,South Dakota,12,July 16 - July 21,27.6
1,Tennessee,12,July 16 - July 21,33.7
1,Texas,12,July 16 - July 21,32.4
1,Utah,12,July 16 - July 21,28.5
1,Vermont,12,July 16 - July 21,21.4
1,Virginia,12,July 16 - July 21,27
1,Washington,12,July 16 - July 21,32.2
1,West Virginia,12,July 16 - July 21,28
1,Wisconsin,12,July 16 - July 21,23.9
1,Wyoming,12,July 16 - July 21,31.6
